Camera Name,Count (Professional Cameras),Count (Non-professional Cameras),Tag Name,Count (Professional Tags),Count (Non-professional Tags)
NIKON CORPORATION D810,85,115,flowers,1027,1503
NIKON CORPORATION D90,284,461,garden,994,1503
NIKON CORPORATION D5100,165,279,house,988,1529
NIKON CORPORATION D800,133,192,nature,1016,1489
NIKON CORPORATION D3,26,29,sky,956,1537
Canon EOS 5D Mark II,318,471,dog,972,1507
Canon EOS 7D,320,470,orange,1019,1468
Canon EOS-1D X,26,34,day,997,1527
Canon EOS-1D Mark IV,13,25,purple,978,1520
NIKON CORPORATION D7200,100,150,art,1000,1478
NIKON CORPORATION D5200,86,135,arizona,980,1528
Samsung Techwin <KENOX S630  / Samsung S630>,2,1,farm,962,1530
Panasonic DMC-G3,14,9,snow,926,1495
NIKON CORPORATION D850,45,62,car,963,1495
Panasonic DMC-FZ1000,33,19,bar,1027,1498
SONY ILCE-7RM2,47,70,river,529,821
SONY ILCE-7R,22,37,bridge,988,1484
NIKON CORPORATION D810A,1,1,music,1015,1466
NIKON CORPORATION D800E,32,41,shop,1006,1531
Canon EOS M,16,18,,0,0
Canon EOS 5D,85,145,,0,0
Canon EOS 6D Mark II,29,38,,0,0
Canon EOS 6D,257,374,,0,0
NIKON CORPORATION D200,77,130,,0,0
NIKON CORPORATION 1 V3,2,1,,0,0
NIKON CORPORATION D610,74,102,,0,0
NIKON CORPORATION D5000,106,151,,0,0
NIKON CORPORATION D70,63,102,,0,0
NIKON CORPORATION D750,176,232,,0,0
Apple iPhone 12 Pro Max,2,2,,0,0
SONY ILCE-7M3,28,35,,0,0
Canon EOS Kiss X5,8,5,,0,0
NIKON CORPORATION D600,76,112,,0,0
FUJIFILM X100T,14,24,,0,0
RICOH IMAGING COMPANY,101,116,,0,0
LTD.   PENTAX 645Z        ,1,0,,0,0
NIKON CORPORATION D500,61,72,,0,0
Canon EOS 5D Mark III,283,386,,0,0
Canon EOS 5DS R,9,29,,0,0
SAMSUNG NX mini,1,1,,0,0
samsung SM-G950F,6,11,,0,0
Canon EOS 700D,85,109,,0,0
Canon EOS 550D,126,196,,0,0
samsung SM-G800F,1,1,,0,0
Canon EOS 5D Mark IV,64,115,,0,0
Canon EOS Kiss X4,11,12,,0,0
PENTAX              PENTAX K-5         ,2,4,,0,0
PENTAX PENTAX K-5,41,57,,0,0
NIKON CORPORATION D7000,285,434,,0,0
NIKON CORPORATION D3100,170,276,,0,0
FUJIFILM X-T1,53,88,,0,0
FUJIFILM X-E1,22,36,,0,0
NIKON CORPORATION D40X,61,86,,0,0
SONY NEX-6,17,26,,0,0
Canon PowerShot SX50 HS,42,43,,0,0
Canon EOS 70D,159,231,,0,0
Canon EOS Rebel T6,15,15,,0,0
Canon DIGITAL IXUS 80 IS,9,15,,0,0
GoPro HERO4 Silver,2,0,,0,0
NIKON COOLPIX P600,7,8,,0,0
NIKON COOLPIX P900,20,31,,0,0
FUJIFILM X-T2,32,62,,0,0
Canon PowerShot SX60 HS,21,29,,0,0
SONY SLT-A77V,34,53,,0,0
