Camera Name,Count (Professional),Count (Non-professional)
NIKON D850,96,0
Canon EOS 7D,457,0
PENTAX K-3,37,0
NEX-F3,6,0
Canon EOS 60D,297,0
KODAK Z740 ZOOM DIGITAL CAMERA,22,0
ILCA-68,10,0
COOLPIX AW100,6,0
NIKON D600,118,0
Canon PowerShot A540,32,0
DMC-FZ35,13,0
Canon EOS REBEL T1i,100,0
Canon EOS REBEL SL1,20,0
NIKON D90,349,0
Canon PowerShot A530,4,0
Canon PowerShot S3 IS,34,0
NIKON D500,113,0
Canon EOS 5D Mark II,397,0
E8700,11,0
COOLPIX L320,5,0
DSC-W70,4,0
E-30,4,0
iPhone 4S,66,0
E-M1MarkII,51,0
FinePix E550,5,0
Canon EOS 6D,337,0
Canon EOS 350D DIGITAL,90,0
NIKON D7000,351,0
Canon EOS 5D Mark IV,201,0
NIKON D300S,65,0
iPhone 5s,107,0
DSC-S950,2,0
Canon EOS 7D Mark II,233,0
iPhone 7,42,0
Canon PowerShot SX210 IS,10,0
NIKON D60,58,0
PENTAX KP,13,0
NIKON D5300,84,0
NIKON D800,346,0
PENTAX K-3 II,26,0
SM-G950F,9,0
DSC-F828,7,0
NX500,8,0
ILCA-77M2,42,0
NIKON D3300,67,0
NIKON D80,182,0
Lumia 950,1,0
X-T1,58,0
Canon EOS 5D Mark III,524,0
E-M10,29,0
Canon EOS 5D,90,0
ILCE-6000,117,0
Canon EOS DIGITAL REBEL XTi,119,0
Canon IXUS 220HS,4,0
D-LUX 3,5,0
DSC-T3,1,0
FinePix S5600  ,2,0
NIKON D3200,129,0
Canon EOS 600D,78,0
PENTAX K-5,57,0
DMC-TZ41,1,0
SLP800,1,0
FinePix HS30EXR,6,0
Canon EOS REBEL T3i,205,0
DMC-TZ10,12,0
CanoScan 9000F,11,0
ILCE-7RM3,34,0
E-M1,93,0
COOLPIX S3600,3,0
PENTAX K-30,19,0
DSLR-A850,7,0
Canon EOS DIGITAL REBEL XS,49,0
Canon EOS REBEL T5i,46,0
Canon PowerShot ELPH 340 HS,3,0
DMC-GH2,8,0
iPhone 6,134,0
FDMAVICA,1,0
Canon EOS 70D,216,0
SLT-A77V,80,0
DMC-TZ71,3,0
Nexus 4,3,0
NIKON Z 6_2,7,0
Canon EOS-1D Mark II N,3,0
XQ1,1,0
SAMSUNG WB1000 / VLUU WB1000 / SAMSUNG TL320,1,0
NIKON D300,175,0
Canon EOS 30D,72,0
COOLPIX B600,2,0
NIKON D750,273,0
Canon EOS 450D,63,0
NIKON D700,161,0
iPhone SE,24,0
E-M5            ,7,0
DMC-ZS25,3,0
Canon EOS 80D,108,0
NIKON D70,76,0
SP-3000,8,0
DMC-FZ300,14,0
ILCE-7M2,50,0
NIKON D810,134,0
Canon EOS 40D,151,0
PENTAX K10D,36,0
NIKON D7100,327,0
DMC-FZ45,7,0
DSC-H5,17,0
Canon PowerShot A70,14,0
EX-Z750,2,0
